iter	MultiClass
141	0.9663540952
142	0.9659346216
143	0.9643715878
144	0.9638507566
145	0.9633455893
146	0.9622976754
147	0.9618326396
148	0.9615986573
149	0.9612039026
150	0.9607603467
151	0.9602491776
152	0.9598049079
153	0.9594961318
154	0.9591943224
155	0.9586044526
156	0.9581642949
157	0.9578048588
158	0.9574760614
159	0.9570901026
160	0.9566264547
161	0.9562443444
162	0.95528021
163	0.9544526324
164	0.9539899457
165	0.9535357531
166	0.9530541779
167	0.9526777715
168	0.9523703816
169	0.9520466276
170	0.9516844395
171	0.9513767328
172	0.9510536997
173	0.9507524396
174	0.9504148516
175	0.9499434663
176	0.9495031076
177	0.9491400835
178	0.9487684573
179	0.9485360547
180	0.9483129171
181	0.9479769583
182	0.9477496149
183	0.9474396082
184	0.9470894892
185	0.9468411645
186	0.9464246228
187	0.9462336993
188	0.9457921438
189	0.9454740567
190	0.945081099
191	0.9448057453
192	0.9444284343
193	0.9439774791
194	0.943685132
195	0.9434853381
196	0.9432286148
197	0.943018207
198	0.9426882928
199	0.9423389061
200	0.9420161034
201	0.9417917283
202	0.9415999851
203	0.9413664714
204	0.9410805128
205	0.9408556108
206	0.9406534497
207	0.9403380522
208	0.940042692
209	0.9397769941
210	0.9395541077
211	0.9392987665
212	0.9390589427
213	0.9388580266
214	0.9385860447
215	0.9382805098
216	0.9379454128
217	0.9377187902
218	0.9375677538
219	0.9372194468
220	0.9368630295
221	0.9366840604
222	0.9364593136
223	0.9362592918
224	0.9359227109
225	0.9356649486
226	0.9353316112
227	0.9350771344
228	0.9346946765
229	0.9344278443
230	0.9340502799
231	0.9337413116
232	0.9334396344
233	0.9331721378
234	0.9329160458
235	0.9327303735
236	0.9324669966
237	0.9322012213
238	0.9319241415
239	0.9316804938
240	0.9315086436
241	0.9312586251
242	0.9310011341
243	0.9307671628
244	0.9304527882
245	0.9302595598
246	0.9300140851
247	0.9297496249
248	0.9295181107
249	0.9292938984
250	0.9290647629
251	0.9287567371
252	0.9283843282
253	0.9281935784
254	0.9279531388
255	0.9277871341
256	0.9274821737
257	0.9272793806
258	0.9270995448
259	0.9268979684
260	0.9265098618
261	0.9262542663
262	0.9262173152
263	0.9260053253
264	0.925807884
265	0.9256139811
266	0.9254019188
267	0.9252124946
268	0.9248800163
269	0.9246963032
270	0.9245276111
271	0.9244014613
272	0.9240223459
273	0.9238726213
274	0.9235911604
275	0.9234630996
276	0.9233256118
277	0.9231590212
278	0.923044515
279	0.9228124154
280	0.9227153319
281	0.9225450517
282	0.922441448
283	0.9219883096
284	0.9216959704
285	0.9215539801
286	0.9212633647
287	0.9210863629
288	0.9209539355
289	0.9208027915
290	0.9206201802
291	0.92045196
292	0.9202193376
293	0.9200460609
294	0.9199520464
295	0.9198127565
296	0.9195882136
297	0.9194343465
298	0.9192809983
299	0.9190116568
300	0.9187993982
301	0.9187359206
302	0.9184812373
303	0.9183985647
304	0.9182228884
305	0.918069307
306	0.9178891602
307	0.9177738117
308	0.9175807
309	0.9173844678
310	0.9172716437
311	0.9170700201
312	0.9168539375
313	0.9166660478
314	0.9165969161
315	0.9163792409
316	0.9162242435
317	0.9160026082
318	0.9158564721
319	0.9156581494
320	0.9154183217
321	0.9151323268
322	0.9149070544
323	0.9147401033
324	0.9144736721
325	0.9143547194
326	0.9141750241
327	0.9139571581
328	0.9137932524
329	0.9135484358
330	0.9133536907
331	0.9132143936
332	0.9128765271
333	0.9126888189
334	0.9124094022
335	0.9123050124
336	0.9121697242
337	0.9118842917
338	0.911705116
339	0.9114460295
340	0.9113217474
341	0.9112024098
342	0.9110805345
343	0.9109599409
344	0.9107447465
345	0.9106429466
346	0.9104208251
347	0.9102437339
348	0.9100098193
349	0.9098627155
350	0.9097352405
351	0.9096239912
352	0.9093867523
353	0.9091762053
354	0.9090519318
355	0.9088007856
356	0.9085022436
357	0.9084021668
358	0.9082179674
359	0.9079902591
360	0.9078455378
361	0.9076078586
362	0.9075130351
363	0.9073774389
364	0.9072259931
365	0.906977568
366	0.9066633562
367	0.9064932274
368	0.9063269312
369	0.9061942259
370	0.9060574121
371	0.9058437601
372	0.9057523402
373	0.9056553638
374	0.905585922
375	0.9055102849
376	0.9052906265
377	0.9051808744
378	0.9050640586
379	0.9048621818
380	0.9047527583
381	0.9045992537
382	0.9044456431
383	0.9043640865
384	0.904273577
385	0.9041258242
386	0.9040020265
387	0.9038196937
388	0.9036576772
389	0.9035499618
390	0.9033398837
391	0.9032220321
392	0.9029912723
393	0.902726936
394	0.9026410794
395	0.9025710645
396	0.902395294
397	0.9022016032
398	0.9020977827
399	0.9020340772
400	0.9019364613
401	0.9018220763
402	0.9017824511
403	0.9017027799
404	0.901583557
405	0.901515234
406	0.9013481243
407	0.9011888538
408	0.9011274878
409	0.9010161231
410	0.9008411111
411	0.9005589331
412	0.9004150269
413	0.9002459744
414	0.9000667872
415	0.8999661787
416	0.8999097283
417	0.899795349
418	0.8996618527
419	0.899536144
420	0.8994156283
421	0.8993498427
422	0.8992173462
423	0.8991983905
424	0.8991323988
425	0.8990199155
426	0.8988256875
427	0.8986479476
428	0.8985371042
429	0.8984519758
430	0.8983033634
431	0.8981185566
432	0.8980183098
433	0.8978443001
434	0.8976714627
435	0.8975791803
436	0.8975446189
437	0.8973385999
438	0.8972388844
439	0.897161329
440	0.8971253138
441	0.8969909316
442	0.8969081168
443	0.8967025685
444	0.896166287
445	0.8960687913
446	0.8960450721
447	0.8960300149
448	0.8959342564
449	0.8958229071
450	0.8956720359
451	0.8955656044
452	0.8954111602
453	0.8952935941
454	0.8952093096
455	0.8950446616
456	0.8949596843
457	0.8948206774
458	0.8946311478
459	0.894429984
460	0.8942914778
461	0.8941772794
462	0.8940270737
463	0.8938544905
464	0.8937919234
465	0.8936987468
466	0.8936236438
467	0.8934592527
468	0.8932493385
469	0.8931747625
470	0.8929585235
471	0.8928548622
472	0.8927257986
473	0.8926559487
474	0.8925098767
475	0.8924075675
476	0.8921904482
477	0.8920253218
478	0.8919290072
479	0.8918015517
480	0.8916486636
481	0.8914935898
482	0.8913616501
483	0.8912752042
484	0.8910001722
485	0.8908306127
486	0.8906473818
487	0.8905079233
488	0.8903795526
489	0.8902265123
490	0.8900908241
491	0.8899283456
492	0.8897619003
493	0.8896526274
494	0.8896088126
495	0.8894313991
496	0.889320472
497	0.8892596328
498	0.8891496958
499	0.8890906491
